Fecha,IPC,re_USD,re_MXN,V_P1,V_P2
01/09/10, 0.3600 ," 1,718.9603 "," 5,507.2890 ", 0.0019 ," 1,863.8275 "
01/10/10, 0.1900 ," 1,731.0322 "," 5,720.2320 ", 0.0022 ," 2,186.9398 "
01/11/10, 0.2400 ," 1,631.8941 "," 5,309.3570 ", 0.0028 ," 2,819.8517 "
01/12/10, 0.4300 ," 1,721.8270 "," 5,680.0790 ", 0.0017 ," 1,705.0649 "
01/01/11, 0.4600 ," 1,403.1694 "," 4,715.2990 ", 0.0017 ," 1,687.6187 "
01/02/11, 0.4000 ," 1,651.0566 "," 5,030.4060 ", 0.0013 ," 1,305.9602 "
01/03/11, 0.3000 ," 2,055.9125 "," 5,981.6190 ", 0.0007 , 652.5003 
01/04/11, 0.0800 ," 1,880.8948 "," 5,673.6930 ",-0.0000 ,-34.2758 
01/05/11, 0.1800 ," 2,168.5078 "," 6,831.0900 ",-0.0025 ,"-2,540.1430 "
01/06/11, 0.1900 ," 2,022.3112 "," 6,024.7420 ", -   , -   
01/07/11, 0.2200 ," 1,906.7078 "," 5,834.2540 ", 0.0016 ," 1,644.5382 "
01/08/11, 0.1200 ," 2,143.8956 "," 6,303.9810 ", 0.0005 , 543.0520 
01/09/11, 0.2700 ," 2,085.9703 "," 5,986.8680 ", 0.0008 , 844.4103 
01/10/11, 0.2600 ," 1,912.6401 "," 6,009.3630 ", 0.0022 ," 2,233.9003 "
01/11/11, 0.3200 ," 1,785.8739 "," 5,487.8890 ", 0.0036 ," 3,552.7485 "
01/12/11, 0.5100 ," 1,786.0316 "," 5,981.7140 ", 0.0026 ," 2,602.9334 "
01/01/12, 0.4500 ," 1,506.3264 "," 5,106.0170 ", 0.0023 ," 2,266.8779 "
01/02/12, 0.4300 ," 1,788.2346 "," 5,582.2390 ", 0.0006 , 638.0688 
01/03/12, 0.2400 ," 2,091.6655 "," 6,232.4630 ", 0.0002 , 187.7894 
01/04/12, 0.1500 ," 2,031.5033 "," 6,101.5710 ",-0.0010 ,-985.8310 
01/05/12, 0.2700 ," 2,342.5053 "," 7,102.4420 ",-0.0010 ,"-1,012.1036 "
01/06/12, 0.2200 ," 2,096.1395 "," 6,301.7320 ", 0.0014 ," 1,442.0390 "
01/07/12, 0.3100 ," 1,862.7014 "," 5,923.7540 ", 0.0018 ," 1,763.6050 "
01/08/12, 0.2200 ," 1,889.6558 "," 6,218.5450 ", 0.0009 , 941.2044 
01/09/12, 0.1800 ," 1,661.5842 "," 5,619.9070 ", 0.0014 ," 1,389.1371 "
01/10/12, 0.2300 ," 1,771.3108 "," 5,927.3400 ", 0.0016 ," 1,594.0899 "
01/11/12, 0.0500 ," 1,692.2529 "," 5,637.5880 ", 0.0021 ," 2,124.0732 "
01/12/12, 0.1200 ," 1,704.4423 "," 5,857.7400 ", 0.0007 , 702.6836 
01/01/13, 0.4200 ," 1,530.9493 "," 5,367.8520 ", 0.0012 ," 1,228.1715 "
01/02/13, 0.5100 ," 1,653.7933 "," 5,680.8380 ", 0.0015 ," 1,503.5636 "
01/03/13, 0.3000 ," 1,855.5856 "," 6,213.2530 ", 0.0022 ," 2,230.4799 "
01/04/13, 0.0800 ," 1,990.6289 "," 6,666.8710 ", 0.0002 , 214.1390 
01/05/13, 0.2000 ," 2,105.1707 "," 7,393.3230 ",-0.0010 ,"-1,001.6838 "
01/06/13, 0.1300 ," 2,001.2296 "," 6,647.7920 ",-0.0002 ,-177.3677 
01/07/13, 0.0300 ," 1,890.2772 "," 6,471.9320 ",-0.0001 ,-88.6337 
01/08/13, 0.0900 ," 1,953.6304 "," 6,620.7900 ", 0.0008 , 822.1588 
01/09/13, 0.3200 ," 1,828.3274 "," 6,421.7270 ", 0.0011 ," 1,119.7108 "
01/10/13, 0.1900 ," 1,911.9983 "," 6,709.2080 ", 0.0014 ," 1,405.9660 "
01/11/13, 0.1400 ," 1,731.6637 "," 6,008.9470 ", 0.0027 ," 2,677.3981 "
01/12/13, 0.3300 ," 1,849.4966 "," 6,549.8190 ", 0.0016 ," 1,592.4389 "
01/01/14, 0.8500 ," 1,642.2232 "," 5,648.9050 ", 0.0025 ," 2,499.6817 "
01/02/14, 0.2800 ," 1,719.2445 "," 5,844.1100 ", 0.0007 , 704.8366 
01/03/14, 0.2100 ," 2,098.2592 "," 6,945.6100 ", 0.0008 , 762.1676 
01/04/14, 0.2900 ," 1,976.3673 "," 6,617.2340 ",-0.0005 ,-532.8582 
01/05/14, 0.0900 ," 2,146.9543 "," 7,570.9870 ",-0.0009 ,-893.9931 
01/06/14, 0.2100 ," 2,043.4553 "," 6,853.6210 ", 0.0005 , 469.4367 
01/07/14, 0.1900 ," 1,998.1848 "," 6,795.6400 ", 0.0008 , 768.6916 
01/08/14, 0.2100 ," 2,004.3310 "," 6,841.8300 ", 0.0010 , 986.3389 
01/09/14, 0.2900 ," 1,965.0674 "," 6,757.2350 ", 0.0012 ," 1,207.3065 "
01/10/14, 0.1700 ," 2,042.1377 "," 7,041.9680 ", 0.0015 ," 1,513.9701 "
01/11/14, 0.1600 ," 1,776.0464 "," 6,209.4860 ", 0.0022 ," 2,213.4998 "
01/12/14, 0.2300 ," 2,235.0127 "," 7,402.1970 ", 0.0013 ," 1,307.8173 "
01/01/15,-0.0300 ," 1,626.8265 "," 5,827.5620 ",-0.0002 ,-236.2821 
01/02/15, 0.3400 ," 1,842.5174 "," 6,169.4880 ", 0.0005 , 499.9050 
01/03/15, 0.2600 ," 2,254.2732 "," 7,253.3840 ", 0.0011 ," 1,089.5865 "
01/04/15, 0.1600 ," 2,006.1882 "," 6,742.3820 ",-0.0007 ,-693.1599 
01/05/15, 0.1200 ," 2,191.0587 "," 7,808.8940 ",-0.0013 ,"-1,320.7434 "
01/06/15, 0.2100 ," 2,156.0087 "," 7,246.0500 ", 0.0004 , 448.9496 
01/07/15, 0.1700 ," 2,234.8851 "," 7,357.7800 ", 0.0004 , 400.0721 
01/08/15, 0.2000 ," 2,253.1487 "," 7,555.8500 ", 0.0006 , 559.9084 
01/09/15, 0.3700 ," 2,055.1324 "," 7,124.3850 ", 0.0010 , 985.4545 
01/10/15, 0.2500 ," 2,068.8161 "," 7,358.5460 ", 0.0013 ," 1,343.6760 "
01/11/15, 0.0400 ," 1,895.1813 "," 6,711.0390 ", 0.0015 ," 1,471.2877 "
01/12/15, 0.3100 ," 2,200.7363 "," 7,563.3980 ", 0.0011 ," 1,056.8698 "
